ref_date,yield_bid,price_bid,asset_code,matur_date,prazo_anos
2018-08-10,0.0584,689.84,NTN-B Principal 150545,2045-05-15,26.76249144421629
2018-08-13,0.0594,672.91,NTN-B Principal 150545,2045-05-15,26.754277891854894
2018-08-14,0.0562,729.67,NTN-B Principal 150545,2045-05-15,26.751540041067763
2018-08-15,0.057300000000000004,709.87,NTN-B Principal 150545,2045-05-15,26.748802190280628
2018-08-16,0.0557,739.27,NTN-B Principal 150545,2045-05-15,26.746064339493497
2018-08-17,0.056600000000000004,722.85,NTN-B Principal 150545,2045-05-15,26.743326488706366
2018-08-20,0.0562,730.35,NTN-B Principal 150545,2045-05-15,26.73511293634497
2018-08-21,0.056600000000000004,723.19,NTN-B Principal 150545,2045-05-15,26.732375085557837
2018-08-22,0.0583,693.03,NTN-B Principal 150545,2045-05-15,26.729637234770706
2018-08-23,0.0562,730.85,NTN-B Principal 150545,2045-05-15,26.72689938398357
2018-08-24,0.0565,725.44,NTN-B Principal 150545,2045-05-15,26.72416153319644
2018-08-27,0.056100000000000004,732.95,NTN-B Principal 150545,2045-05-15,26.715947980835043
2018-08-28,0.056799999999999996,720.29,NTN-B Principal 150545,2045-05-15,26.713210130047912
2018-08-29,0.057800000000000004,702.54,NTN-B Principal 150545,2045-05-15,26.71047227926078
2018-08-30,0.0575,708.02,NTN-B Principal 150545,2045-05-15,26.70773442847365
2018-08-31,0.057999999999999996,699.32,NTN-B Principal 150545,2045-05-15,26.704996577686515
2018-09-03,0.058499999999999996,690.74,NTN-B Principal 150545,2045-05-15,26.69678302532512
2018-09-04,0.0584,692.64,NTN-B Principal 150545,2045-05-15,26.694045174537987
2018-09-05,0.0587,687.59,NTN-B Principal 150545,2045-05-15,26.691307323750856
2018-09-06,0.057999999999999996,699.42,NTN-B Principal 150545,2045-05-15,26.688569472963724
2018-09-10,0.0575,708.4,NTN-B Principal 150545,2045-05-15,26.677618069815196
2018-09-11,0.0591,680.63,NTN-B Principal 150545,2045-05-15,26.67488021902806
2018-09-12,0.057800000000000004,703.35,NTN-B Principal 150545,2045-05-15,26.67214236824093
2018-09-13,0.0583,694.71,NTN-B Principal 150545,2045-05-15,26.6694045174538
2018-09-14,0.0583,695,NTN-B Principal 150545,2045-05-15,26.666666666666668
2018-09-17,0.0593,678,NTN-B Principal 150545,2045-05-15,26.65845311430527
2018-09-18,0.0592,679.93,NTN-B Principal 150545,2045-05-15,26.65571526351814
2018-09-19,0.0592,680.16,NTN-B Principal 150545,2045-05-15,26.652977412731005
2018-09-20,0.059000000000000004,683.8,NTN-B Principal 150545,2045-05-15,26.650239561943874
2018-09-21,0.058499999999999996,692.81,NTN-B Principal 150545,2045-05-15,26.647501711156742
2018-09-24,0.0596,674.37,NTN-B Principal 150545,2045-05-15,26.639288158795345
2018-09-25,0.06,667.89,NTN-B Principal 150545,2045-05-15,26.636550308008214
2018-09-26,0.0596,674.86,NTN-B Principal 150545,2045-05-15,26.633812457221083
2018-09-27,0.059500000000000004,676.8,NTN-B Principal 150545,2045-05-15,26.63107460643395
2018-09-28,0.059500000000000004,677.23,NTN-B Principal 150545,2045-05-15,26.628336755646817
2018-10-01,0.059500000000000004,677.47,NTN-B Principal 150545,2045-05-15,26.62012320328542
2018-10-02,0.0587,691.43,NTN-B Principal 150545,2045-05-15,26.61738535249829
2018-10-03,0.0576,711.02,NTN-B Principal 150545,2045-05-15,26.614647501711158
2018-10-04,0.0584,697.15,NTN-B Principal 150545,2045-05-15,26.611909650924023
2018-10-05,0.0562,737.6,NTN-B Principal 150545,2045-05-15,26.60917180013689
2018-10-08,0.0547,766.2,NTN-B Principal 150545,2045-05-15,26.600958247775495
2018-10-09,0.055,760.73,NTN-B Principal 150545,2045-05-15,26.598220396988363
2018-10-10,0.0547,766.77,NTN-B Principal 150545,2045-05-15,26.595482546201232
2018-10-11,0.0541,779.08,NTN-B Principal 150545,2045-05-15,26.5927446954141
2018-10-15,0.0542,777.41,NTN-B Principal 150545,2045-05-15,26.581793292265573
2018-10-16,0.053099999999999994,799.5,NTN-B Principal 150545,2045-05-15,26.579055441478438
2018-10-17,0.053200000000000004,797.78,NTN-B Principal 150545,2045-05-15,26.576317590691307
2018-10-18,0.053,802.1,NTN-B Principal 150545,2045-05-15,26.573579739904176
2018-10-19,0.0527,808.72,NTN-B Principal 150545,2045-05-15,26.570841889117045
2018-10-22,0.052300000000000006,817.19,NTN-B Principal 150545,2045-05-15,26.562628336755647
2018-10-23,0.052300000000000006,817.49,NTN-B Principal 150545,2045-05-15,26.559890485968516
2018-10-24,0.0526,811.77,NTN-B Principal 150545,2045-05-15,26.55715263518138
2018-10-25,0.0528,808,NTN-B Principal 150545,2045-05-15,26.55441478439425
2018-10-26,0.052300000000000006,818.81,NTN-B Principal 150545,2045-05-15,26.55167693360712
2018-10-29,0.050300000000000004,861.4,NTN-B Principal 150545,2045-05-15,26.543463381245722
2018-10-30,0.051500000000000004,836.08,NTN-B Principal 150545,2045-05-15,26.54072553045859
2018-10-31,0.0516,834.29,NTN-B Principal 150545,2045-05-15,26.537987679671456
2018-11-01,0.0516,835.04,NTN-B Principal 150545,2045-05-15,26.535249828884325
2018-11-05,0.052000000000000005,826.99,NTN-B Principal 150545,2045-05-15,26.524298425735797
2018-11-06,0.0521,825.23,NTN-B Principal 150545,2045-05-15,26.521560574948666
2018-11-07,0.0513,841.72,NTN-B Principal 150545,2045-05-15,26.518822724161534
2018-11-08,0.052300000000000006,821.12,NTN-B Principal 150545,2045-05-15,26.5160848733744
2018-11-09,0.0528,811.39,NTN-B Principal 150545,2045-05-15,26.51334702258727
2018-11-12,0.0518,832.31,NTN-B Principal 150545,2045-05-15,26.50513347022587
2018-11-13,0.0519,830.51,NTN-B Principal 150545,2045-05-15,26.50239561943874
2018-11-14,0.052199999999999996,824.55,NTN-B Principal 150545,2045-05-15,26.49965776865161
2018-11-16,0.051100000000000007,847.76,NTN-B Principal 150545,2045-05-15,26.494182067077343
2018-11-19,0.0512,845.95,NTN-B Principal 150545,2045-05-15,26.48596851471595
2018-11-20,0.0512,845.95,NTN-B Principal 150545,2045-05-15,26.483230663928815
2018-11-21,0.051500000000000004,839.75,NTN-B Principal 150545,2045-05-15,26.480492813141684
2018-11-22,0.0508,854.79,NTN-B Principal 150545,2045-05-15,26.477754962354553
2018-11-23,0.050300000000000004,865.72,NTN-B Principal 150545,2045-05-15,26.47501711156742
2018-11-26,0.0506,859.28,NTN-B Principal 150545,2045-05-15,26.466803559206024
2018-11-27,0.051699999999999996,836.02,NTN-B Principal 150545,2045-05-15,26.46406570841889
2018-11-28,0.0508,855.26,NTN-B Principal 150545,2045-05-15,26.46132785763176
2018-11-29,0.051699999999999996,836.31,NTN-B Principal 150545,2045-05-15,26.458590006844627
2018-11-30,0.0509,853.36,NTN-B Principal 150545,2045-05-15,26.455852156057496
2018-12-03,0.0506,859.96,NTN-B Principal 150545,2045-05-15,26.4476386036961
2018-12-04,0.051699999999999996,836.7,NTN-B Principal 150545,2045-05-15,26.444900752908968
2018-12-05,0.051100000000000007,849.53,NTN-B Principal 150545,2045-05-15,26.442162902121833
2018-12-06,0.052199999999999996,826.58,NTN-B Principal 150545,2045-05-15,26.439425051334702
2018-12-07,0.0508,855.26,NTN-B Principal 150545,2045-05-15,26.43668720054757
2018-12-10,0.0518,834.2,NTN-B Principal 150545,2045-05-15,26.428473648186174
2018-12-11,0.0516,838.5,NTN-B Principal 150545,2045-05-15,26.425735797399042
2018-12-12,0.051,851.31,NTN-B Principal 150545,2045-05-15,26.42299794661191
2018-12-13,0.0512,847.16,NTN-B Principal 150545,2045-05-15,26.420260095824776
2018-12-14,0.051100000000000007,849.45,NTN-B Principal 150545,2045-05-15,26.417522245037645
2018-12-17,0.0506,860.35,NTN-B Principal 150545,2045-05-15,26.409308692676248
2018-12-18,0.050300000000000004,867.04,NTN-B Principal 150545,2045-05-15,26.406570841889117
2018-12-19,0.0501,871.59,NTN-B Principal 150545,2045-05-15,26.403832991101986
2018-12-20,0.0501,871.79,NTN-B Principal 150545,2045-05-15,26.401095140314855
2018-12-21,0.050199999999999995,870.09,NTN-B Principal 150545,2045-05-15,26.39835728952772
2018-12-24,0.050300000000000004,867.91,NTN-B Principal 150545,2045-05-15,26.390143737166323
2018-12-26,0.0501,872.47,NTN-B Principal 150545,2045-05-15,26.38466803559206
2018-12-27,0.050199999999999995,870.48,NTN-B Principal 150545,2045-05-15,26.38193018480493
2018-12-28,0.050300000000000004,868.79,NTN-B Principal 150545,2045-05-15,26.379192334017795
2019-01-02,0.027200000000000002,3126.1,NTN-B Principal 150519,2019-05-15,0.36413415468856947
2019-01-03,0.026000000000000002,3127.83,NTN-B Principal 150519,2019-05-15,0.3613963039014374
2019-01-04,0.0245,3130.05,NTN-B Principal 150519,2019-05-15,0.3586584531143053
2019-01-07,0.0241,3130.87,NTN-B Principal 150519,2019-05-15,0.35044490075290896
2019-01-08,0.0241,3131.27,NTN-B Principal 150519,2019-05-15,0.34770704996577684
2019-01-09,0.024,3131.77,NTN-B Principal 150519,2019-05-15,0.34496919917864477
2019-01-10,0.023,3133.18,NTN-B Principal 150519,2019-05-15,0.34223134839151265
2019-01-11,0.0222,3136.09,NTN-B Principal 150519,2019-05-15,0.3394934976043806
2019-01-14,0.0232,3135.52,NTN-B Principal 150519,2019-05-15,0.33127994524298426
2019-01-15,0.023399999999999997,3136.01,NTN-B Principal 150519,2019-05-15,0.32854209445585214
2019-01-16,0.0233,3136.8,NTN-B Principal 150519,2019-05-15,0.3258042436687201
2019-01-17,0.0226,3138.17,NTN-B Principal 150519,2019-05-15,0.32306639288158795
2019-01-18,0.0218,3140.42,NTN-B Principal 150519,2019-05-15,0.3203285420944558
2019-01-21,0.0218,3141.09,NTN-B Principal 150519,2019-05-15,0.31211498973305957
2019-01-22,0.0209,3142.6,NTN-B Principal 150519,2019-05-15,0.30937713894592744
2019-01-23,0.0212,3142.99,NTN-B Principal 150519,2019-05-15,0.3066392881587953
2019-01-24,0.0207,3145.45,NTN-B Principal 150519,2019-05-15,0.30390143737166325
2019-01-25,0.0204,3145.71,NTN-B Principal 150519,2019-05-15,0.30116358658453113
2019-01-28,0.0204,3146.36,NTN-B Principal 150519,2019-05-15,0.2929500342231348
2019-01-29,0.0202,3147.18,NTN-B Principal 150519,2019-05-15,0.29021218343600275
2019-01-30,0.021400000000000002,3146.8,NTN-B Principal 150519,2019-05-15,0.2874743326488706
2019-01-31,0.0232,3145.94,NTN-B Principal 150519,2019-05-15,0.28473648186173856
2019-02-01,0.023399999999999997,3147.25,NTN-B Principal 150519,2019-05-15,0.28199863107460643
2019-02-04,0.024399999999999998,3147.12,NTN-B Principal 150519,2019-05-15,0.2737850787132101
2019-02-05,0.024700000000000003,3147.57,NTN-B Principal 150519,2019-05-15,0.27104722792607805
2019-02-06,0.024300000000000002,3148.59,NTN-B Principal 150519,2019-05-15,0.2683093771389459
2019-02-07,0.0236,3149.83,NTN-B Principal 150519,2019-05-15,0.2655715263518138
2019-02-08,0.0235,3149.47,NTN-B Principal 150519,2019-05-15,0.26283367556468173
2019-02-11,0.0233,3150.24,NTN-B Principal 150519,2019-05-15,0.2546201232032854
2019-02-12,0.0217,3152.04,NTN-B Principal 150519,2019-05-15,0.2518822724161533
2019-02-13,0.0212,3153,NTN-B Principal 150519,2019-05-15,0.24914442162902123
2019-02-14,0.0208,3153.88,NTN-B Principal 150519,2019-05-15,0.2464065708418891
2019-02-15,0.020099999999999996,3155.78,NTN-B Principal 150519,2019-05-15,0.243668720054757
2019-02-18,0.0195,3156.83,NTN-B Principal 150519,2019-05-15,0.23545516769336072
2019-02-19,0.0191,3157.73,NTN-B Principal 150519,2019-05-15,0.2327173169062286
2019-02-20,0.018799999999999997,3158.56,NTN-B Principal 150519,2019-05-15,0.2299794661190965
2019-02-21,0.0183,3159.51,NTN-B Principal 150519,2019-05-15,0.2272416153319644
2019-02-22,0.016399999999999998,3162.12,NTN-B Principal 150519,2019-05-15,0.2245037645448323
2019-02-25,0.0143,3164.06,NTN-B Principal 150519,2019-05-15,0.216290212183436
2019-02-26,0.014499999999999999,3164.5,NTN-B Principal 150519,2019-05-15,0.2135523613963039
2019-02-27,0.0141,3165.31,NTN-B Principal 150519,2019-05-15,0.2108145106091718
2019-02-28,0.0124,3166.9,NTN-B Principal 150519,2019-05-15,0.2080766598220397
2019-03-01,0.0097,3170.59,NTN-B Principal 150519,2019-05-15,0.2053388090349076
2019-03-06,0.009300000000000001,3171.33,NTN-B Principal 150519,2019-05-15,0.19164955509924708
2019-03-07,0.0092,3171.89,NTN-B Principal 150519,2019-05-15,0.188911704312115
2019-03-08,0.009399999999999999,3173.04,NTN-B Principal 150519,2019-05-15,0.1861738535249829
