data,ipca,selic,cambio,premio_2,premio_5,premio_10,premio_20
2018-08-01,-0.09,0.57,3.9298,3.7635354691075515,5.029418798287152,5.546764386596511,5.710434782608695
2018-09-01,0.48,0.47,4.1165,3.5100226269164314,5.2659994926085405,5.831803218236675,5.88421052631579
2018-10-01,0.45,0.54,3.7584,2.9585977545122932,4.618651996778625,5.210079270411118,5.413026155339322
2018-11-01,-0.21,0.49,3.7867,3.483593147472642,4.545368616466909,4.944081910828025,5.149
2018-12-01,0.15,0.49,3.8851,3.507236362140369,4.463211445105729,4.839107274555817,5.080526315789474
2019-01-01,0.32,0.54,3.7417,2.9056976881898717,4.041210088114075,4.432047307469601,4.679090909090909
2019-02-01,0.43,0.49,3.7236,2.713172615945805,3.942251237623762,4.287171401273885,4.485
2019-03-01,0.75,0.47,3.8465,1.8533719590795645,3.799281629686514,4.211635534696614,4.4047368421052635
2019-04-01,0.57,0.52,3.8962,1.3423512990396784,3.8501312067296953,4.286541704579921,4.491428571428571
2019-05-01,0.13,0.54,4.0015,0.6750344508135022,3.7558994846853104,4.104835205558772,4.285909090909091
2019-06-01,0.01,0.47,3.8588,NA,NA,3.583065102246061,3.8505263157894736
2019-07-01,0.19,0.57,3.7793,NA,NA,3.226116865134312,3.614782608695652
2019-08-01,0.11,0.5,4.02,NA,2.9213348002316155,3.2134092646207297,3.5945454545454547
2019-09-01,-0.04,0.46,4.1215,NA,2.8293139217470427,3.1793867151956325,3.5757142857142856
2019-10-01,0.1,0.48,4.087,NA,2.3754957075602325,2.7950628634727224,3.2630434782608697
2019-11-01,0.51,0.38,4.1553,NA,2.226177338250084,2.661587663426081,3.14
2019-12-01,1.15,0.37,4.1096,NA,2.3456642976868927,2.8222157559503853,3.338421052631579
2020-01-01,0.21,0.38,4.1495,NA,2.397846902142444,2.8885127967573827,3.410909090909091
2020-02-01,0.25,0.29,4.341,NA,2.3091619111673403,2.8470147388379976,3.292777777777778
2020-03-01,0.07,0.34,4.8839,NA,3.1627308530510585,3.746377365201309,4.1422727272727276
2020-04-01,-0.31,0.28,5.3256,NA,2.975309589041096,3.84517676056338,4.4515
2020-05-01,-0.38,0.24,5.6434,NA,2.8583530821917806,3.7600812989045385,4.3965
2020-06-01,0.26,0.21,5.1966,NA,2.216378016960209,3.3088192115656905,4.098571428571429
2020-07-01,0.36,0.19,5.2802,NA,1.8447741215008935,2.9211437027964893,3.706086956521739
2020-08-01,0.24,0.16,5.4612,NA,1.8444760273972602,2.892589984350548,3.6195238095238094
2020-09-01,0.64,0.16,5.3995,NA,2.1024657534246574,3.1772268425367014,3.879047619047619
2020-10-01,0.86,0.16,5.6258,NA,2.49821803652968,3.4624345331246738,4.11
2020-11-01,0.89,0.15,5.4178,NA,2.606308219178082,3.491750234741784,4.091
2020-12-01,1.35,0.16,5.1456,NA,2.248059589041096,3.075805399061033,3.6555
2021-01-01,0.25,0.15,5.3562,NA,2.4629648521989904,3.1421690964500453,3.5989473684210527
2021-02-01,0.86,0.13,5.4165,NA,2.5701377473363776,3.2152364806120675,3.6527777777777777
2021-03-01,0.93,0.2,5.6461,NA,3.1804891304347827,3.6126539429815607,3.8978260869565218
2021-04-01,0.31,0.21,5.5621,NA,3.52225051369863,3.865989436619718,4.087
2021-05-01,0.83,0.27,5.2911,NA,3.425648727984344,3.8816645055518295,4.195714285714286
2021-06-01,0.53,0.31,5.0319,NA,3.5689866275277233,3.8972933154482448,4.12952380952381
2021-07-01,0.96,0.36,5.1567,NA,3.7334898891063273,3.972338177211417,4.145714285714286
2021-08-01,0.87,0.43,5.2517,NA,4.36576580828544,4.490808009674207,4.583636363636364
2021-09-01,1.16,0.44,5.2797,NA,4.550674565914003,4.66608256949102,4.75047619047619
2021-10-01,1.25,0.49,5.54,NA,4.971268935837246,5.088446165884194,5.1725
2021-11-01,0.95,0.59,5.5569,NA,5.217813575899843,5.232389280125195,5.2425
2021-12-01,0.73,0.77,5.6514,NA,4.969890006706908,5.053724122512855,5.110952380952381
2022-01-01,0.54,0.73,5.5341,NA,5.310581265369998,5.4673619494746255,5.571428571428571
2022-02-01,1.01,0.76,5.1966,NA,5.287393954369492,5.488355160200972,5.618947368421052
2022-03-01,1.62,0.93,4.9684,NA,5.472110115236876,5.616568075117371,5.707727272727273
2022-04-01,1.06,0.83,4.758,NA,5.286788444114983,5.448339593114241,5.547894736842105
2022-05-01,0.47,1.03,4.9551,NA,5.513060036989614,5.63361488120643,5.705909090909091
2022-06-01,0.67,1.02,5.0492,NA,5.536763395185931,5.67394649377748,5.753809523809524
2022-07-01,-0.68,1.03,5.3681,NA,6.056028578880691,6.108016618227886,6.137619047619047
2022-08-01,-0.36,1.17,5.1433,6.4911666666666665,5.647566238007757,5.81705695039804,5.910434782608696
2022-09-01,-0.29,1.07,5.237,6.676922048271363,5.715291117072807,5.772722930173634,5.803333333333334
2022-10-01,0.59,1.02,5.2503,6.197511643835616,5.61351451486698,5.7023977308294205,5.75545291541199
